Bayesian	Gram negative	Gram positive
Nucleoprotein/polynucleotide-associated enzyme	-6.90775527898214	-1.50665804336977
Type cbb3 cytochrome oxidase biogenesis protein CcoH	-6.90775527898214	-1.90056232907685
Phosphoethanolamine transferase EptA specific for the 1 phosphate group of core-lipid A	-6.90775527898214	-1.53018854077996
Phage minor tail protein #Phage minor tail protein T	-6.90775527898214	-1.63027199933694
Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family	-6.90775527898214	-0.873409004390889
Phage shock protein C	-6.90775527898214	-1.20741514851691
Cytochrome c-type heme lyase subunit nrfE, nitrite reductase complex assembly	-6.90775527898214	-1.63027199933694
Protein YcgL	-6.90775527898214	-1.09347088916769
Autotransporter adhesin	-6.90775527898214	-0.576510276834184
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	-6.90775527898214	-0.305013528803421
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	-6.90775527898214	-0.81351086280982
Doubtful CDS. No strong consensus RBS usptream. No significant database matches	-1.07451473708905	-6.90775527898214
Phage integrase, Phage P4-associated	-6.90775527898214	-1.57897870494939
Sensor histidine kinase PrrB (RegB) (EC 2.7.3.-)	-6.90775527898214	-1.17351359684123
Putative RNA 2'-O-ribose methyltransferase mtfA (EC 2.1.1.-)	-6.90775527898214	-1.00517828202201
Stringent starvation protein B	-6.90775527898214	-1.04835045388722
Putative ECA polymerase	-6.90775527898214	-1.8021222562636
FIG136845: Rhodanese-related sulfurtransferase	-6.90775527898214	-0.703509967595492
Inner membrane protein forms channel for type IV secretion of T-DNA complex (VirB10)	-6.90775527898214	-1.22480689122878
Probable component of the lipoprotein assembly complex (forms a complex with YaeT, YfgL, and NlpB)	-6.90775527898214	-0.613897808905805
Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	-6.90775527898214	-0.713981267462787
UPF0235 protein VC0458	-6.90775527898214	-1.29756624551121
Flagellar P-ring protein FlgI	-6.90775527898214	-0.250578322248404
ABC transporter, ATP-binding protein YnjD	-6.90775527898214	-1.6569402464191
LysR family transcriptional regulator YcjZ	-6.90775527898214	-1.93565364888812
Transcriptional repressor protein TrpR # regulates the trp, aroA I (aroH, aroL) and the mtr operons and auto-regulates TrpR.	-6.90775527898214	-1.3166144404819
Integral inner membrane protein of type IV secretion complex (VirB6)	-6.90775527898214	-1.50665804336977
YihE protein, a ser/thr kinase implicated in LPS synthesis and Cpx signalling	-6.90775527898214	-1.35583515363518
FIG041266: ATP-dependent nuclease subunit B	-6.90775527898214	-1.77135059759685
Curlin genes transcriptional activator	-6.90775527898214	-1.83387095457818
probable membrane protein yjeI	-6.90775527898214	-1.90056232907685
Serine protease, subtilase family	-6.90775527898214	-1.60429651293368
Protein export cytoplasm chaperone protein (SecB, maintains protein to be exported in unfolded state)	-6.90775527898214	-0.237420237670893
Thiol:disulfide oxidoreductase TlpA	-6.90775527898214	-1.60429651293368
Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	-6.90775527898214	-0.595029324601422
Pectinesterase (EC 3.1.1.11)	-6.90775527898214	-1.74149763444717
ATP-DEPENDENT DNA HELICASE	-6.90775527898214	-1.93565364888812
Cysteine desulfurase CsdA-CsdE, sulfur acceptor protein CsdE	-6.90775527898214	-1.0782034170369
Glutathione S-transferase family protein	-6.90775527898214	-0.415827895143711
IncF plasmid conjugative transfer pilus assembly protein TraE	-6.90775527898214	-1.74149763444717
Chemotaxis signal transduction protein	-6.90775527898214	-1.3166144404819
elements of external origin; transposon-related functions	-6.90775527898214	-1.50665804336977
Ceramide glucosyltransferase (EC 2.4.1.80)	-6.90775527898214	-1.90056232907685
Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)	-6.90775527898214	-0.84901755126673
DNA helicase IV	-6.90775527898214	-1.336032526339
SAM-dependent methyltransferase, BioC-like	-6.90775527898214	-1.15698429489002
Lipid A acylation protein PagP, palmitoyltransferase	-6.90775527898214	-1.8021222562636
peptidase, U32 family small subunit [C1]	-0.669049628980885	-6.90775527898214
Two-component system response regulator OmpR	-6.90775527898214	-0.633129170833692
Uncharacterized protein ImpH/VasB	-6.90775527898214	-0.224433042144081
DNA mismatch repair endonuclease MutH	-6.90775527898214	-1.20741514851691
FIG003737: Predicted deacylase	-6.90775527898214	-1.86666077740117
Dihydroneopterin triphosphate epimerase	-6.90775527898214	-1.77135059759685
Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)	-6.90775527898214	-0.950370045527018
Uncharacterized protein, homolog of B.subtilis yhgC	-0.880358722648092	-6.90775527898214
Outer membrane porin, OprD family	-6.90775527898214	-1.24250646832818
Polysaccharide biosynthesis protein WlaX	-6.90775527898214	-1.50665804336977
Baseplate assembly protein V	-6.90775527898214	-1.53018854077996
Oar protein	-6.90775527898214	-1.46119566929301
2-aminoethylphosphonate uptake and metabolism regulator	-6.90775527898214	-1.74149763444717
Putative GTP-binding protein YdgA	-6.90775527898214	-1.77135059759685
Ortholog of S. aureus MRSA252 (BX571856) SAR1694	-0.514898949153627	-6.90775527898214
Lipopolysaccharide heptosyltransferase I (EC 2.4.1.-)	-6.90775527898214	-0.613897808905805
Competence protein CoiA	-0.279584862219162	-6.90775527898214
Homolog of E. coli HemY protein	-6.90775527898214	-0.633129170833692
Exodeoxyribonuclease VIII (EC 3.1.11.-)	-6.90775527898214	-1.68433922060722
Chaperone-modulator protein CbpM	-6.90775527898214	-1.86666077740117
Cation transport protein chaC	-6.90775527898214	-1.24250646832818
Octaheme tetrathionate reductase	-6.90775527898214	-1.93565364888812
Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase	-6.90775527898214	-1.3760378609527
DNA-binding capsular synthesis response regulator RcsB	-6.90775527898214	-1.90056232907685
Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8)	-6.90775527898214	-0.885831524389447
DNA polymerase II (EC 2.7.7.7)	-6.90775527898214	-0.937124818776997
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100)	-0.823200308808143	-6.90775527898214
Fructose repressor FruR, LacI family	-6.90775527898214	-1.336032526339
Transcriptional regulator YbiH, TetR family	-6.90775527898214	-1.63027199933694
Putative cytoplasmic protein ,probably associated with Glutathione-regulated potassium-efflux	-6.90775527898214	-1.46119566929301
Peptidase T (EC 3.4.11.4)	-0.769133087537867	-6.90775527898214
Believed to be involved in assembly of Fe-S clusters	-6.90775527898214	-0.735258665910072
DNA replication terminus site-binding protein	-6.90775527898214	-1.86666077740117
Fumarate reductase subunit C	-6.90775527898214	-1.39665714815544
Excinuclease ABC, C subunit-like	-6.90775527898214	-1.3760378609527
Protein ytfJ precursor	-6.90775527898214	-1.48366852514507
Lipopolysaccharide biosynthesis protein RffC	-6.90775527898214	-1.71251009757391
DedD protein	-6.90775527898214	-0.672738308928738
ComK regulator	-0.85137118577484	-6.90775527898214
Inner membrane protein CreD	-6.90775527898214	-1.55428609235902
IncF plasmid conjugative transfer pilus assembly protein TraW	-6.90775527898214	-1.77135059759685
Smr domain protein	-6.90775527898214	-1.90056232907685
Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family	-6.90775527898214	-0.531659710668833
Molybdopterin biosynthesis Mog protein, molybdochelatase	-6.90775527898214	-1.04835045388722
Firmicutes ribosomal L7Ae family protein	-0.972732042779107	-6.90775527898214
DNA ligase (EC 6.5.1.2) ## LigA	-6.90775527898214	-1.41771055735327
LppC putative lipoprotein	-6.90775527898214	-0.885831524389447
Cytochrome c-type heme lyase subunit nrfF, nitrite reductase complex assembly	-6.90775527898214	-1.86666077740117
Putative dihydroxyacetone kinase (EC 2.7.1.29), ADP-binding subunit	-6.90775527898214	-1.90056232907685
Stage II sporulation protein P	-0.693147180559945	-6.90775527898214
Probable type IV pilus assembly FimV-related transmembrane protein	-6.90775527898214	-1.86666077740117
Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-)	-6.90775527898214	-0.977398717914937
FIG004684: SpoVR-like protein	-6.90775527898214	-1.26052497383086
Osmolarity sensory histidine kinase EnvZ	-6.90775527898214	-0.693147180559945
Two-component response regulator colocalized with HrtAB transporter	-0.823200308808143	-6.90775527898214
SECRETION ACTIVATOR PROTEIN	-6.90775527898214	-1.63027199933694
Acyl carrier protein (ACP2)	-6.90775527898214	-1.68433922060722
Response regulatory protein	-6.90775527898214	-1.71251009757391
CRISPR-associated protein, CT1976	-6.90775527898214	-1.86666077740117
Putative periplasmic cytochrome type-C oxidoreductase signal peptide protein (EC 1.-.-.-)	-6.90775527898214	-1.83387095457818
FIG042801: CBS domain containing protein	-0.556571645554195	-6.90775527898214
Uncharacterized protein YfiR precursor	-6.90775527898214	-1.68433922060722
Transcriptional activator RfaH	-6.90775527898214	-1.00517828202201
PTS system, lactose-specific IIA component (EC 2.7.1.69)	-0.940983344464527	-6.90775527898214
Sarcosine dehydrogenase (EC 1.5.99.1)	-6.90775527898214	-1.68433922060722
RNA polymerase sporulation specific sigma factor SigK	-0.972732042779107	-6.90775527898214
Cell division protein ZipA	-6.90775527898214	-0.885831524389447
L-serine dehydratase, beta subunit (EC 4.3.1.17)	-0.116259806115862	-6.90775527898214
Hemolysin activation/secretion protein	-6.90775527898214	-1.74149763444717
Formate dehydrogenase related protein	-0.556571645554195	-6.90775527898214
response regulator aspartate phosphatase	-0.363667979429703	-6.90775527898214
Membrane protein, suppressor for copper-sensitivity ScsD	-6.90775527898214	-1.93565364888812
Cytochrome c-type heme lyase subunit nrfG, nitrite reductase complex assembly	-6.90775527898214	-1.6569402464191
Putative ABC transporter ATP-binding protein	-6.90775527898214	-1.6569402464191
Hydrogenase maturation factor HoxQ	-6.90775527898214	-1.93565364888812
IgaA: a membrane protein that prevents overactivation of the Rcs regulatory system	-6.90775527898214	-1.86666077740117
Osmoprotectant ABC transporter permease protein YehY	-6.90775527898214	-1.93565364888812
Periplasmic nitrate reductase component NapD	-6.90775527898214	-1.09347088916769
FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)	-6.90775527898214	-1.71251009757391
Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	-0.910211685797773	-6.90775527898214
Sensory box/GGDEF domain/EAL domain protein	-6.90775527898214	-1.90056232907685
ABC transporter, permease protein YnjC	-6.90775527898214	-1.55428609235902
Anaerobic nitric oxide reductase transcription regulator NorR	-6.90775527898214	-1.39665714815544
Cell division protein FtsJ / Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-)	-6.90775527898214	-0.81351086280982
protein from nitrogen regulatory protein P-II (GLNB) family, ortholog YAAQ B. subtilis	-1.0055218656021	-6.90775527898214
Regulatory protein SoxS	-6.90775527898214	-1.86666077740117
Multidrug transporter MdtA	-6.90775527898214	-1.90056232907685
Acyl-CoA thioesterase YciA, involved in membrane biogenesis	-6.90775527898214	-1.43921676257423
3-hydroxydecanoyl-[ACP] dehydratase (EC 4.2.1.60)	-6.90775527898214	-1.29756624551121
Putative TEGT family carrier/transport protein	-6.90775527898214	-0.991192040047273
Mannitol operon repressor	-6.90775527898214	-1.50665804336977
MCE-family protein Mce1A	-1.0055218656021	-6.90775527898214
Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	-6.90775527898214	-1.0782034170369
Lmo0066 homolog within ESAT-6 gene cluster, similarity to ADP-ribosylating toxins	-0.669049628980885	-6.90775527898214
Probable lipoprotein transmembrane	-6.90775527898214	-1.14072377401824
Tetratricopeptide repeat (TPR) family protein	-0.910211685797773	-6.90775527898214
FIG005548: transport protein	-6.90775527898214	-1.6569402464191
Homoprotocatechuate degradative operon repressor	-6.90775527898214	-1.46119566929301
PTS IIA-like nitrogen-regulatory protein PtsN	-6.90775527898214	-1.20741514851691
Type III secretion inner membrane channel protein (LcrD,HrcV,EscV,SsaV)	-6.90775527898214	-1.04835045388722
D-cysteine desulfhydrase (EC 4.4.1.15)	-6.90775527898214	-1.8021222562636
DedA family inner membrane protein YabI	-6.90775527898214	-1.90056232907685
Nitrogen regulation protein NtrY (EC 2.7.3.-)	-6.90775527898214	-1.77135059759685
Fe-bacillibactin uptake system FeuA, Fe-bacillibactin binding	-1.0055218656021	-6.90775527898214
NPQTN cell wall anchored protein IsdC	-1.03942341727778	-6.90775527898214
Methylglyoxal reductase, acetol producing (EC 1.1.1.-) / 2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	-6.90775527898214	-1.74149763444717
Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-)	-6.90775527898214	-1.8021222562636
Heme transporter IsdDEF, lipoprotein IsdE	-0.880358722648092	-6.90775527898214
Type IV pilus biogenesis protein PilF	-6.90775527898214	-1.35583515363518
Putative analog of CcoH, COG3198	-6.90775527898214	-1.6569402464191
cell processes; transport of small molecules; amino acids, amines, peptides	-6.90775527898214	-1.77135059759685
Type I secretion target repeat protein	-6.90775527898214	-1.74149763444717
Probable 3-phenylpropionic acid transporter ## PnuD	-6.90775527898214	-1.93565364888812
Type III secretion inner membrane protein (YscU,SpaS,EscU,HrcU,SsaU, homologous to flagellar export components)	-6.90775527898214	-1.00517828202201
Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	-6.90775527898214	-0.713981267462787
Phage integrase: site-specific recombinase	-0.85137118577484	-6.90775527898214
Two component, Sigma-54 Specific, central transcriptional regulator of acidic amino acid uptake	-6.90775527898214	-1.15698429489002
Transition state regulatory protein AbrB	-0.880358722648092	-6.90775527898214
Methionine biosynthesis protein MetW	-6.90775527898214	-1.50665804336977
Outer membrane lipoprotein Blc	-6.90775527898214	-1.39665714815544
Periplasmic protein torT precursor	-6.90775527898214	-1.55428609235902
FIG061771: ATP-dependent nuclease subunit A	-6.90775527898214	-1.48366852514507
FIG003620: Proteophosphoglycan precursor (Fragment)	-6.90775527898214	-1.35583515363518
Nitrogen regulation protein NtrX	-6.90775527898214	-1.8021222562636
Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)	-6.90775527898214	-0.567377793270912
Putative cell division protein precursor	-6.90775527898214	-1.68433922060722
FIG065221: Holliday junction DNA helicase	-6.90775527898214	-0.447576593458291
Two component response regulator	-6.90775527898214	-1.55428609235902
Mlr7403 protein @ FIG001046: putative membrane protein	-6.90775527898214	-1.90056232907685
YjfP protein	-6.90775527898214	-1.93565364888812
Z-ring-associated protein ZapA	-6.90775527898214	-1.27887411249905
Outer membrane protein F precursor	-6.90775527898214	-1.90056232907685
FIG009688: Thioredoxin	-0.399386062031782	-6.90775527898214
Glutamate Aspartate transport system permease protein GltJ (TC 3.A.1.3.4)	-6.90775527898214	-0.362583380624899
Spore coat protein S	-0.795801334620029	-6.90775527898214
4-oxalocrotonate tautomerase (EC 5.3.2.-); Xylose transport system permease protein xylH	-0.795801334620029	-6.90775527898214
Cytochrome c-type protein TorC	-6.90775527898214	-1.8021222562636
Two component system sensor histidine kinase CiaH (EC 2.7.3.-)	-1.03942341727778	-6.90775527898214
Multidrug translocase MdfA	-6.90775527898214	-1.74149763444717
Uncharacterized acetyltransferase YjgM (EC 2.3.1.-)	-6.90775527898214	-1.71251009757391
Uncharacterized ATPase (AAA family) associated with cysteine desulfurase	-0.823200308808143	-6.90775527898214
Protein yciN	-6.90775527898214	-1.90056232907685
membrane spanning protein	-1.03942341727778	-6.90775527898214
NrfC protein	-6.90775527898214	-1.24250646832818
Putative regulator protein	-6.90775527898214	-1.46119566929301
Phage tail length tape-measure protein 1	-6.90775527898214	-1.14072377401824
Lysyl-lysine 2,3-aminomutase	-6.90775527898214	-0.682890680392756
FIG145533: Methyltransferase (EC 2.1.1.-)	-0.346276236717834	-6.90775527898214
Purine nucleoside phosphorylase (EC 2.4.2.1); N-Ribosylnicotinamide phosphorylase (EC 2.4.2.1) ## possible	-0.972732042779107	-6.90775527898214
tRNA dihydrouridine synthase A (EC 1.-.-.-)	-6.90775527898214	-1.336032526339
immunity protein, probable	-0.823200308808143	-6.90775527898214
IncF plasmid conjugative transfer protein TraG	-6.90775527898214	-1.6569402464191
RND efflux transporter	-6.90775527898214	-1.71251009757391
Frataxin homolog CyaY, facilitates iron supply for heme A synthesis or Fe-S cluster assembly	-6.90775527898214	-0.735258665910072
FIG002577: Putative lipoprotein precursor	-6.90775527898214	-1.39665714815544
N-methyl-L-amino-acid oxidase (EC 1.5.3.2); N-methyl-L-tryptophan oxidase (EC 1.5.3.-)	-6.90775527898214	-1.93565364888812
Exported zinc metalloprotease YfgC precursor	-6.90775527898214	-0.801950040408744
tRNA 2-thiouridine synthesizing protein E (EC 2.8.1.-)	-6.90775527898214	-0.950370045527018
5'-nucleotidase family protein in cluster with NagD-like phosphatase	-0.669049628980885	-6.90775527898214
Two-component sensor histidine kinase, controling glutamine utilization	-1.03942341727778	-6.90775527898214
DNA-binding response regulator PetR	-6.90775527898214	-1.90056232907685
2-hydroxychromene-2-carboxylate isomerase	-6.90775527898214	-1.3166144404819
FIG002082: Protein SirB2	-6.90775527898214	-1.35583515363518
DNA transformation protein TfoX	-6.90775527898214	-1.6569402464191
RND efflux system, outer membrane lipoprotein CmeC	-6.90775527898214	-0.020834086902842
Phosphoglycerate mutase family 1	-0.795801334620029	-6.90775527898214
Putative nitroreductase family protein SACOL0874	-0.880358722648092	-6.90775527898214
Hydrolase in polyol utilization gene cluster, haloacid dehalogenase-like family	-6.90775527898214	-1.27887411249905
Putative ATP:guanido phosphotransferase YacI (EC 2.7.3.-)	-0.645519131570691	-6.90775527898214
Translation elongation factor P-related protein	-6.90775527898214	-1.26052497383086
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	-6.90775527898214	-0.284251537354992
Phosphoethanolamine transferase specific for the outer Kdo residue of lipopolysaccharide	-6.90775527898214	-1.83387095457818
Virulence factor VirK	-6.90775527898214	-1.60429651293368
Putative fimbrial-like protein	-6.90775527898214	-1.46119566929301
Polysaccharide export lipoprotein Wza	-6.90775527898214	-1.00517828202201
Putative mannosyl-3-phosphoglycerate phosphatase (EC 3.1.3.70)	-6.90775527898214	-1.83387095457818
Cyanate transport protein CynX	-6.90775527898214	-1.63027199933694
Putative ACR protein	-6.90775527898214	-1.77135059759685
Probable zinc protease pqqL (EC 3.4.99.-)	-6.90775527898214	-1.77135059759685
Heme transporter IsdDEF, permease component IsdF	-0.880358722648092	-6.90775527898214
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	-6.90775527898214	-0.567377793270912
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)	-6.90775527898214	-1.77135059759685
FIG139928: Putative protease	-6.90775527898214	-1.60429651293368
COG2833: uncharacterized protein	-6.90775527898214	-1.35583515363518
Inner membrane protein YfiN	-6.90775527898214	-1.63027199933694
S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	-6.90775527898214	-0.392660835862177
cytochrome c family protein, putative	-6.90775527898214	-1.86666077740117
Two component transcriptional regulator VraR	-0.717839793150317	-6.90775527898214
phage infection protein	-1.07451473708905	-6.90775527898214
Murein-DD-endopeptidase (EC 3.4.99.-)	-6.90775527898214	-0.873409004390889
Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-)	-6.90775527898214	-1.74149763444717
Maltose operon periplasmic protein MalM	-6.90775527898214	-1.55428609235902
4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)	-6.90775527898214	-1.26052497383086
TerC-like integral membrane protein	-0.645519131570691	-6.90775527898214
Two-component system sensor protein	-6.90775527898214	-1.6569402464191
Phosphate starvation-inducible protein PsiF	-6.90775527898214	-1.74149763444717
Exoribonuclease II (EC 3.1.13.1)	-6.90775527898214	-0.991192040047273
Type III secretion inner membrane protein (YscS,homologous to flagellar export components)	-6.90775527898214	-1.3760378609527
RNA polymerase sigma-70 factor, ECF family	-6.90775527898214	-1.71251009757391
Outer membrane lipoprotein carrier protein LolA	-6.90775527898214	-0.423671072604737
General secretion pathway protein L	-6.90775527898214	-0.682890680392756
FOG: TPR repeat, SEL1 subfamily	-6.90775527898214	-0.825206902573012
Baseplate assembly protein J	-6.90775527898214	-1.26052497383086
Iron-sulfur cluster assembly scaffold protein IscU	-6.90775527898214	-0.549359287768234
Conjugative transfer protein TrbJ	-6.90775527898214	-1.90056232907685
FIG001592: Phosphocarrier protein kinase/phosphorylase, nitrogen regulation associated	-6.90775527898214	-1.27887411249905
COG2041: Sulfite oxidase and related enzymes	-6.90775527898214	-1.68433922060722
Autolysin sensor kinase (EC 2.7.3.-)	-6.90775527898214	-0.585726931939108
Polymyxin resistance protein PmrM	-6.90775527898214	-1.77135059759685
Cystine ABC transporter, ATP-binding protein	-6.90775527898214	-1.63027199933694
Glycoprotein-polysaccharide metabolism	-6.90775527898214	-1.93565364888812
Chaperone protein HscB	-6.90775527898214	-0.595029324601422
Predicted ATP-dependent endonuclease of the OLD family, YbjD subgroup	-6.90775527898214	-1.48366852514507
Transcriptional regulator SlmA, TetR family	-6.90775527898214	-1.17351359684123
Arginine ABC transporter, permease protein ArtM	-6.90775527898214	-1.50665804336977
AA3-600 quinol oxidase subunit II	-1.07451473708905	-6.90775527898214
FIG003492: Threonine dehydrogenase and related Zn-dependent dehydrogenases	-6.90775527898214	-1.93565364888812
ESAT-6/Esx family secreted protein EsxA/YukE	-0.717839793150317	-6.90775527898214
DNA polymerase III chi subunit (EC 2.7.7.7)	-6.90775527898214	-0.385056236476957
Uncharacterized protein ImpJ/VasE	-6.90775527898214	-0.237420237670893
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	-6.90775527898214	-0.613897808905805
FIG001826: putative inner membrane protein	-6.90775527898214	-1.43921676257423
COG1939: Ribonuclease III family protein	-0.232331977368616	-6.90775527898214
High-affinity leucine-specific transport system, periplasmic binding protein LivK (TC 3.A.1.4.1)	-6.90775527898214	-0.825206902573012
Outer membrane porin protein 32 precursor	-6.90775527898214	-0.585726931939108
Pirin-related protein	-6.90775527898214	-1.03375165446607
Sigma-fimbriae usher protein	-6.90775527898214	-1.19032071515761
ADP-heptose:LPS heptosyltransferase	-6.90775527898214	-1.90056232907685
Glycolate utilization operon transcriptional activator GlcC	-6.90775527898214	-1.68433922060722
Multidrug resistance protein D	-6.90775527898214	-0.898410306596307
Chromosome partition protein MukE	-6.90775527898214	-1.41771055735327
Competence transcription factor	-0.717839793150317	-6.90775527898214
FIG000988: Predicted permease	-6.90775527898214	-0.567377793270912
MSHA biogenesis protein MshI	-6.90775527898214	-1.60429651293368
Pole remodelling regulatory diguanylate cyclase	-6.90775527898214	-1.03375165446607
Nickel responsive regulator NikR	-6.90775527898214	-1.3760378609527
Spore cortex-lytic enzyme CwlJ	-1.03942341727778	-6.90775527898214
YcfP protein: probably an esterase that is part of a salvage cluster	-6.90775527898214	-1.50665804336977
Two-component sensor protein RcsC (EC 2.7.3.-)	-6.90775527898214	-1.86666077740117
Ribonuclease T (EC 3.1.13.-)	-6.90775527898214	-0.885831524389447
Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	-6.90775527898214	-1.00517828202201
FIG139552: Putative protease	-6.90775527898214	-1.60429651293368
Uncharacterized membrane protein YqjD	-6.90775527898214	-1.90056232907685
Phage tail assembly protein #Phage tail assembly protein K	-6.90775527898214	-0.977398717914937
Membrane Protein Functionally coupled to the MukBEF Chromosome Partitioning Mechanism	-6.90775527898214	-1.60429651293368
Bmp family protein	-6.90775527898214	-1.39665714815544
Exodeoxyribonuclease I (EC 3.1.11.1)	-6.90775527898214	-0.825206902573012
Major surface protein 2	-6.90775527898214	-1.17351359684123
Putative pertactin family virulence factor/autotransporter precursor	-6.90775527898214	-1.57897870494939
Inner membrane protein YqjF	-6.90775527898214	-1.8021222562636
Negative regulator of genetic competence MecA	-0.075985906977922	-6.90775527898214
Proposed lipoate regulatory protein YbeD	-6.90775527898214	-0.623467259921956
Multidrug resistance protein B (ErmB)	-6.90775527898214	-1.77135059759685
Tagatose-6-phosphate kinase (EC 2.7.1.144)	-0.880358722648092	-6.90775527898214
Protein-N(5)-glutamine methyltransferase PrmB, methylates LSU ribosomal protein L3p	-6.90775527898214	-0.567377793270912
Paraquat-inducible protein B	-6.90775527898214	-0.21161235371502
FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase	-6.90775527898214	-1.09347088916769
Putative acetyl esterase YjcH (EC 3.1.1.-)	-0.85137118577484	-6.90775527898214
Uncharacterized protein YrbK clustered with lipopolysaccharide transporters	-6.90775527898214	-0.746069582014288
Primosomal replication protein N prime prime	-6.90775527898214	-1.43921676257423
Glutathione-regulated potassium-efflux system ATP-binding protein	-6.90775527898214	-0.595029324601422
Flavodoxin 2	-6.90775527898214	-1.48366852514507
N-acetylgalactosamine 6-sulfate sulfatase (GALNS)	-6.90775527898214	-1.86666077740117
Peptide transport system permease protein SapC	-6.90775527898214	-1.27887411249905
FIG002337: predicted inner membrane protein	-6.90775527898214	-1.60429651293368
DNA recombination-dependent growth factor C	-6.90775527898214	-0.682890680392756
FIG001960: FtsZ-interacting protein related to cell division	-0.217064505237827	-6.90775527898214
Uridine kinase family protein YggC homolog	-6.90775527898214	-1.77135059759685
Osmoprotectant ABC transporter inner membrane protein YehW	-6.90775527898214	-1.83387095457818
Peptidyl-prolyl cis-trans isomerase PpiB (EC 5.2.1.8)	-6.90775527898214	-0.505684224265572
General secretion pathway protein K	-6.90775527898214	-0.604419064951261
Flavoprotein MioC	-6.90775527898214	-1.26052497383086
