REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn06108_c0	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NONE	Hope	100008	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	NONE	Hope	100009	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NONE	Hope	100010	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	NONE	Hope	100011	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)	NONE	Hope	100012	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NONE	Hope	100013	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	NONE	Hope	100014	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NONE	Hope	100015	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	NONE	Hope	100016	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)	NONE	Hope	100017	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)	NONE	Hope	100018	0
rxn06108_c0	NADH dehydrogenase (EC 1.6.99.3)	NONE	Hope	100019	0
rxn06108_c0	NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	NONE	Hope	100020	0
rxn06108_c0	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NONE	Hope	100021	0
rxn02483_c0	4-carboxymuconolactone decarboxylase (EC 4.1.1.44)	NONE	Hope|MATT FILE	100022	1
rxn00802_c0	Argininosuccinate lyase (EC 4.3.2.1)	NONE	Hope|MATT FILE|CHRIS FILE	10	1
rxn00802_c0	Argininosuccinate lyase (EC 4.3.2.1)	NONE	Hope|MATT FILE|CHRIS FILE	10	1
rxn03638_c0	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	Hope|MATT FILE|MATT FILE|CHRIS FILE	11	1
rxn03638_c0	Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	11	1
rxn03638_c0	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	NONE	CHRIS FILE	11	1
rxn10318_c0	Poly(glycerophosphate chain) D-alanine transfer protein DltD	NONE	CHRIS FILE	2025	1
rxn08851_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08851_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn02377_c0	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.-)	Lipopolysaccharide_biosynthesis_2	Hope|CHRIS FILE	1683	1
rxn00797_c0	Uridine Nucleosidase (EC 3.2.2.3)	NONE	Hope|MATT FILE	100023	1
rxn03541_c0	Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	NONE	Hope|MATT FILE	100024	1
rxn06078_c0	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49)	NONE	Hope|MATT FILE	100025	1
rxn00868_c0	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	16	1
rxn00868_c0	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	Hope|CHRIS FILE	1683	1
rxn00868_c0	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	Hope|CHRIS FILE	1683	1
rxn00868_c0	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	NONE	Hope|CHRIS FILE	1683	1
rxn03954_c0	L-idonate 5-dehydrogenase (EC 1.1.1.264)	NONE	Hope|MATT FILE	100026	1
rxn01675_c0	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Lipopolysaccharide_biosynthesis_2	Hope|MATT FILE|CHRIS FILE	24	1
rxn01675_c0	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	NONE	Hope|MATT FILE|CHRIS FILE	24	1
rxn12636_c0	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12636_c0	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12636_c0	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12636_c0	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12636_c0	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12636_c0	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12636_c0	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12636_c0	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn06802_c0	L-aminoadipate-semialdehyde dehydrogenase small subunit (EC 1.2.1.31)	NONE	Hope|MATT FILE	100027	1
rxn06802_c0	L-aminoadipate-semialdehyde dehydrogenase large subunit (EC 1.2.1.31)	NONE	Hope|MATT FILE	100028	1
rxn12644_c0	Peptidase B (EC 3.4.11.23)	NONE	CHRIS FILE	1673	1
rxn12644_c0	Membrane alanine aminopeptidase N (EC 3.4.11.2)	NONE	CHRIS FILE	1674	1
rxn12644_c0	Isoaspartyl aminopeptidase (EC 3.4.19.5)	NONE	CHRIS FILE	1671	1
rxn12644_c0	Methionine aminopeptidase (EC 3.4.11.18)	NONE	CHRIS FILE	1677	1
rxn12644_c0	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	NONE	CHRIS FILE	1675	1
rxn12644_c0	Asp-X dipeptidase	NONE	CHRIS FILE	1672	1
rxn12644_c0	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	NONE	CHRIS FILE	1678	1
rxn12644_c0	Cytosol aminopeptidase PepA (EC 3.4.11.1)	NONE	CHRIS FILE	1676	1
rxn06858_c0	Polyhydroxyalkanoic acid synthase	Polyhydroxybutyrate_metabolism	Hope	100029	0
rxn05921_c0	Choline dehydrogenase (EC 1.1.99.1)	NONE	Hope	100030	0
rxn01367_c0	3'-nucleotidase (EC 3.1.3.6)	NONE	Hope|MATT FILE	100031	1
rxn10855_c0	Magnesium citrate secondary transporter	NONE	CHRIS FILE	1683	1
rxn05536_c0	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn05536_c0	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn05536_c0	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn05536_c0	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn05536_c0	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn05536_c0	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn05536_c0	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn05536_c0	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn05536_c0	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn05536_c0	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn05536_c0	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn05536_c0	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn03422_c0	Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)	NONE	Hope|MATT FILE	100032	1
rxn08941_c0	Maltodextrin phosphorylase (EC 2.4.1.1)	NONE	CHRIS FILE	1683	1
rxn08800_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08800_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn06729_c0	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	NONE	Hope|MATT FILE	100033	1
rxn01387_c0	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	NONE	Hope|MATT FILE|CHRIS FILE	74	1
rxn00124_c0	Pyridoxal kinase (EC 2.7.1.35)	NONE	Hope|MATT FILE	100034	1
rxn01506_c0	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	NONE	Hope|MATT FILE	100035	1
rxn08823_c0	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08823_c0	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn07296_c0	Thiazole biosynthesis protein ThiG	NONE	Hope	100036	0
rxn07296_c0	Thiazole biosynthesis protein ThiH	NONE	Hope	100037	0
rxn05168_c0	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	NONE	CHRIS FILE	3015	1
rxn05168_c0	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	NONE	CHRIS FILE	3013	1
rxn05168_c0	Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	NONE	CHRIS FILE	3017	1
rxn05168_c0	Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	NONE	CHRIS FILE	3016	1
rxn05168_c0	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	NONE	CHRIS FILE	3014	1
rxn00744_c0	Putative dihydroxyacetone kinase (EC 2.7.1.29), dihydroxyacetone binding subunit	NONE	Hope|MATT FILE	100038	1
rxn00744_c0	Putative dihydroxyacetone kinase (EC 2.7.1.29), ADP-binding subunit	NONE	Hope|MATT FILE	100039	1
rxn00744_c0	Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	NONE	Hope|MATT FILE	100040	1
rxn10824_c0	Ornithine transporter	NONE	CHRIS FILE	1665	1
rxn00433_c0	Sarcosine oxidase delta subunit	NONE	CHRIS FILE	2033	1
rxn00433_c0	Sarcosine oxidase alpha subunit (EC 1.5.3.1)	NONE	CHRIS FILE	2033	1
rxn00433_c0	Sarcosine oxidase beta subunit (EC 1.5.3.1)	NONE	CHRIS FILE	2033	1
rxn00433_c0	Sarcosine oxidase gamma subunit	NONE	CHRIS FILE	2033	1
rxn01737_c0	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	NONE	Hope|MATT FILE|CHRIS FILE	80	1
rxn05544_c0	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn05544_c0	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn05544_c0	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn05544_c0	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn05544_c0	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn05544_c0	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn05544_c0	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn05544_c0	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn05544_c0	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn05544_c0	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn05544_c0	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn05544_c0	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn05391_c0	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	NONE	CHRIS FILE	87	1
rxn03061_c0	2-methylisocitrate dehydratase (EC 4.2.1.99)	NONE	Hope|MATT FILE|CHRIS FILE	88	1
rxn09313_c0	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn09313_c0	Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn09313_c0	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn05549_c0	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05549_c0	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05549_c0	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05549_c0	Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05330_c0	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	Hope|MATT FILE|CHRIS FILE	92	1
rxn05330_c0	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	NONE	Hope|MATT FILE	100041	1
rxn03910_c0	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03910_c0	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03910_c0	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03910_c0	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03492_c0	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	NONE	Hope|MATT FILE	100042	1
rxn08258_c0	Carnitinyl-CoA dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	1683	1
rxn05616_c0	Magnesium transporter	NONE	CHRIS FILE	1643	1
rxn05616_c0	Magnesium and cobalt transport protein CorA	NONE	CHRIS FILE	1644	1
rxn04713_c0	Acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	NONE	CHRIS FILE	108	1
rxn04713_c0	Acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	NONE	CHRIS FILE	108	1
rxn00816_c0	Beta-galactosidase small subunit (EC 3.2.1.23)	NONE	Hope|MATT FILE	100043	1
rxn00816_c0	Beta-galactosidase (EC 3.2.1.23)	NONE	Hope|MATT FILE|CHRIS FILE	106	1
rxn00816_c0	Beta-galactosidase (EC 3.2.1.23)	Galactosylceramide_and_Sulfatide_metabolism	Hope|MATT FILE|CHRIS FILE	106	1
rxn00816_c0	Beta-galactosidase (EC 3.2.1.23)	NONE	Hope|MATT FILE|CHRIS FILE	106	1
rxn00816_c0	Beta-galactosidase large subunit (EC 3.2.1.23)	NONE	Hope|MATT FILE	100044	1
rxn02345_c0	3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	Polyhydroxybutyrate_metabolism	Hope|MATT FILE|MATT FILE	100045	1
rxn02345_c0	3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	NONE	Hope|MATT FILE|MATT FILE	100046	1
rxn01134_c0	Trehalose synthase (EC 5.4.99.16)	NONE	Hope|MATT FILE	100047	1
rxn00520_c0	Succinyl-CoA ligase [GDP-forming] beta chain (EC 6.2.1.4)	NONE	Hope|MATT FILE	100048	1
rxn08527_c0	Fumarate reductase subunit C	NONE	CHRIS FILE	1680	1
rxn08527_c0	Succinate dehydrogenase hydrophobic membrane anchor protein	NONE	CHRIS FILE	1680	1
rxn08527_c0	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	NONE	CHRIS FILE	2029	1
rxn08527_c0	Succinate dehydrogenase cytochrome b558 subunit	NONE	CHRIS FILE	1680	1
rxn08527_c0	Succinate dehydrogenase cytochrome b-556 subunit	NONE	CHRIS FILE	1680	1
rxn08527_c0	Fumarate reductase subunit D	NONE	CHRIS FILE	1680	1
rxn08527_c0	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	NONE	CHRIS FILE	1680	1
rxn08527_c0	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	NONE	CHRIS FILE|CHRIS FILE	2000	1
rxn08527_c0	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	NONE	CHRIS FILE|CHRIS FILE	2029	1
rxn12848_c0	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn12848_c0	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn12848_c0	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn12848_c0	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn12848_c0	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn12848_c0	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn12848_c0	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn12848_c0	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn12848_c0	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn12848_c0	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn12848_c0	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn12848_c0	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn08471_c0	Alkanesulfonate monooxygenase (EC 1.14.14.5)	NONE	CHRIS FILE	116	1
rxn00369_c0	Uridine kinase (EC 2.7.1.48) [C1]	NONE	CHRIS FILE	117	1
rxn00369_c0	Uridine kinase (EC 2.7.1.48)	NONE	Hope|MATT FILE	100049	1
rxn02212_c0	3-dehydroquinate synthase 2	NONE	Hope	100050	0
rxn02212_c0	3-dehydroquinate synthase (EC 4.2.3.4)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	118	1
rxn02212_c0	3-dehydroquinate synthase (EC 4.2.3.4)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	118	1
rxn02212_c0	3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)	NONE	MATT FILE	100051	1
rxn03419_c0	GTP cyclohydrolase I (EC 3.5.4.16) type 1	NONE	Hope|MATT FILE|MATT FILE	100052	1
rxn03419_c0	GTP cyclohydrolase I (EC 3.5.4.16) type 1	NONE	Hope|MATT FILE|MATT FILE	100053	1
rxn03419_c0	GTP cyclohydrolase I (EC 3.5.4.16) type 2	NONE	Hope|MATT FILE	100054	1
rxn05408_c0	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	NONE	CHRIS FILE	119	1
rxn02160_c0	Histidinol-phosphatase [alternative form] (EC 3.1.3.15)	NONE	Hope|MATT FILE	100055	1
rxn02160_c0	Histidinol-phosphatase (EC 3.1.3.15)	XXBOB	Hope|MATT FILE|CHRIS FILE	122	1
rxn02160_c0	Histidinol-phosphatase (EC 3.1.3.15)	NONE	Hope|MATT FILE|CHRIS FILE	122	1
rxn10125_c0	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	NONE	CHRIS FILE	3073	1
rxn10125_c0	Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)	NONE	CHRIS FILE	3074	1
rxn10125_c0	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	NONE	CHRIS FILE	3073	1
rxn10295_c0	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	NONE	CHRIS FILE	2023	1
rxn02733_c0	Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1)	NONE	Hope|MATT FILE	100056	1
rxn02733_c0	Protoporphyrin IX Mg-chelatase subunit D (EC 6.6.1.1)	NONE	Hope|MATT FILE	100057	1
rxn02733_c0	Protoporphyrin IX Mg-chelatase subunit I (EC 6.6.1.1)	NONE	Hope|MATT FILE	100058	1
rxn05614_c0	Methionine ABC transporter substrate-binding protein	NONE	CHRIS FILE	128	1
rxn05614_c0	Methionine ABC transporter ATP-binding protein	NONE	CHRIS FILE	128	1
rxn05614_c0	Methionine ABC transporter permease protein	NONE	CHRIS FILE	128	1
rxn03052_c0	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	NONE	Hope|MATT FILE|CHRIS FILE	1058	1
rxn09692_c0	Choline-glycine betaine transporter	NONE	CHRIS FILE	3070	1
rxn09692_c0	High-affinity choline uptake protein BetT	NONE	CHRIS FILE	3069	1
rxn01685_c0	Acetoin (diacetyl) reductase (EC 1.1.1.5)	NONE	Hope|MATT FILE	100059	1
rxn10304_c0	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	NONE	CHRIS FILE	2024	1
rxn00497_c0	Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	NONE	Hope|MATT FILE	100060	1
rxn00577_c0	Sucrose phosphorylase (EC 2.4.1.7)	NONE	Hope|MATT FILE	100061	1
rxn05557_c0	Iron(III) dicitrate transport protein FecA	NONE	CHRIS FILE	3046	1
rxn05557_c0	Iron(III) dicitrate transport system, periplasmic iron-binding protein FecB (TC 3.A.1.14.1)	NONE	CHRIS FILE	3045	1
rxn05557_c0	Iron(III) dicitrate transport system permease protein FecD (TC 3.A.1.14.1)	NONE	CHRIS FILE	132	1
rxn05557_c0	Iron(III) dicitrate transport ATP-binding protein FecE (TC 3.A.1.14.1)	NONE	CHRIS FILE	133	1
rxn00883_c0	Myo-inositol-1(or 4)-monophosphatase (EC 3.1.3.25)	NONE	Hope	100062	0
rxn00883_c0	Inositol-1-monophosphatase (EC 3.1.3.25)	NONE	MATT FILE|CHRIS FILE	134	1
rxn01923_c0	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	NONE	Hope|MATT FILE|CHRIS FILE	135	1
rxn00248_c0	Malate dehydrogenase (EC 1.1.1.37), mitochondrial precursor	NONE	Hope|MATT FILE	100063	1
rxn00248_c0	Malate dehydrogenase (EC 1.1.1.37)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	139	1
rxn00248_c0	Malate dehydrogenase (EC 1.1.1.37)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	139	1
rxn00248_c0	Malate dehydrogenase (EC 1.1.1.37)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	139	1
rxn00248_c0	Malate dehydrogenase (EC 1.1.1.37), chloroplast precursor	NONE	Hope|MATT FILE	100064	1
rxn00248_c0	Putative malate dehydrogenase (EC 1.1.1.37), similar to archaeal MJ1425	NONE	Hope|MATT FILE	100065	1
rxn00248_c0	Malate dehydrogenase (EC 1.1.1.37), peroxisomal	NONE	Hope|MATT FILE	100066	1
rxn05734_c0	Aldehyde dehydrogenase (EC 1.2.1.3)	NONE	CHRIS FILE	145	1
rxn01302_c0	Homoserine dehydrogenase (EC 1.1.1.3)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	144	1
rxn01302_c0	Homoserine dehydrogenase (EC 1.1.1.3)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	144	1
rxn05422_c0	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	NONE	CHRIS FILE	159	1
rxn00979_c0	Aldehyde dehydrogenase (EC 1.2.1.3)	NONE	CHRIS FILE	154	0
rxn00979_c0	Glycolaldehyde dehydrogenase (EC 1.2.1.21)	NONE	Hope|MATT FILE	100067	1
rxn05448_c0	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	163	1
rxn00048_c0	Riboflavin synthase archaeal (EC 2.5.1.9)	NONE	Hope|MATT FILE	100068	1
rxn00048_c0	Riboflavin synthase alpha chain (EC 2.5.1.9)	NONE	Hope|MATT FILE|CHRIS FILE	164	1
